49.61,49.00,49.00,50.00
62.00,60.01,54.74,57.00
64.10,63.49,62.48,62.48
48.82,48.88,46.89,49.00
44.19,50.07,51.73,52.90
65.05,64.41,65.15,60.49
66.50,67.10,66.10,65.00
39.00,35.00,34.73,33.04
50.52,44.97,41.00,39.58
65.11,65.19,62.00,60.61
60.10,59.00,57.60,57.00
42.00,38.13,37.05,37.30
64.15,63.66,62.10,66.98
67.73,71.46,74.69,71.00
33.10,39.50,36.92,29.60
63.89,63.89,65.10,69.18
53.69,52.80,42.51,42.00
50.00,45.52,40.63,36.98
40.43,36.10,35.00,35.00
28.22,28.59,30.13,35.12
40.00,40.00,48.03,50.10
61.51,66.60,58.00,57.00
60.69,58.90,57.00,57.00
40.07,41.50,43.10,44.20
66.60,58.00,57.00,52.69
68.52,66.49,63.31,61.84
59.07,55.69,47.72,47.43
63.89,62.61,56.10,54.10
52.46,54.76,55.21,67.70
44.00,48.50,49.00,49.50
49.23,50.00,56.70,61.60
39.88,35.23,34.00,38.84
31.30,28.46,28.02,28.05
68.03,70.64,72.52,70.20
37.10,39.69,31.91,22.71
49.31,55.49,58.90,52.48
42.46,55.03,64.60,65.01
28.50,31.85,44.00,49.85
52.48,48.34,54.98,45.25
49.10,49.57,49.23,49.57
39.91,40.50,40.94,40.50
53.41,50.05,48.88,47.17
49.90,46.89,39.75,34.11
62.00,61.69,61.24,61.00
63.60,63.10,63.03,66.00
56.60,56.10,54.32,54.70
37.52,26.86,21.59,25.00
58.52,63.60,55.25,51.32
52.45,54.05,57.49,60.69
41.35,42.58,51.90,57.10
25.17,22.97,22.60,22.75
24.13,25.00,28.49,44.40
43.58,42.62,44.32,48.77
64.89,60.00,55.19,53.24
68.99,69.43,68.99,68.99
25.13,39.71,44.00,41.21
56.01,60.69,64.10,60.19
40.16,40.16,40.30,43.25
53.69,53.70,53.25,52.93
56.70,63.14,63.60,64.80
53.21,48.70,48.50,49.28
27.00,26.39,26.84,37.10
67.10,67.10,67.10,67.10
40.10,33.83,31.84,27.58
44.91,48.10,58.02,61.01
52.85,49.67,48.95,50.00
39.15,38.17,37.65,38.17
56.18,52.10,50.48,51.49
67.10,67.10,67.10,65.25
60.60,60.01,54.45,48.77
56.69,54.80,54.85,53.05
67.00,63.10,59.69,59.69
60.01,54.74,57.00,55.00
38.16,37.65,38.34,41.16
48.42,48.15,48.42,56.00
44.97,46.97,44.97,56.07
30.00,30.00,30.60,42.01
56.00,53.15,48.82,46.38
49.56,48.57,48.36,49.85
53.03,51.90,49.81,49.40
26.00,30.00,41.19,43.60
49.50,57.17,63.00,64.00
63.44,62.21,62.21,63.44
52.10,47.40,45.91,46.09
46.68,49.30,50.00,49.30
69.69,69.48,67.03,65.51
36.10,31.93,28.77,28.28
61.55,60.19,56.69,55.46
25.88,28.13,30.00,30.60
31.55,27.22,26.71,27.16
64.42,65.10,64.21,63.42
63.10,63.10,61.42,61.59
44.88,40.50,39.74,39.74
52.61,52.00,51.10,50.00
50.20,49.87,50.10,50.10
43.13,42.94,42.46,42.25
44.10,43.00,40.02,35.13
41.00,40.40,40.40,41.73
56.77,56.02,48.96,43.00
58.00,59.85,57.10,52.25
64.03,66.10,66.10,61.10
68.52,66.00,65.70,62.10
50.85,50.45,48.18,48.00
33.04,34.00,36.00,41.19
53.13,58.52,58.81,59.31
49.07,45.30,42.43,41.62
49.00,48.42,48.42,48.34
43.00,47.50,50.48,55.69
63.41,66.24,66.52,66.24
55.20,54.48,54.57,50.31
30.10,27.90,35.00,39.25
47.79,46.19,45.69,45.59
40.89,40.90,44.51,46.85
50.48,49.88,45.56,40.56
51.11,50.65,52.67,60.98
47.87,39.90,36.07,30.52
67.00,65.48,65.00,65.25
49.84,46.00,45.50,46.29
26.82,26.93,27.07,27.18
50.02,54.55,54.12,59.50
43.01,43.51,46.50,55.53
65.57,67.00,67.10,67.57
46.95,45.01,39.53,34.50
53.25,51.00,50.80,48.10
