Date,FX Vol,VIX,IG Spreads (US),Z FX Vol,Z VIX,Z IG Spreads,SPX
11/20/2000,11.2,27.43,193,0.450617626,0.901022909,0.390259644,1342.62
11/21/2000,11.5,26.62,195,0.559465463,0.807962482,0.41352573,1347.35
11/22/2000,11.425,27.71,195,0.532253504,0.933191946,0.41352573,1322.36
11/24/2000,11.775,26,196,0.659242647,0.736731044,0.425158773,1341.77
11/27/2000,11.625,26.93,198,0.604818728,0.843578201,0.448424859,1348.97
11/28/2000,11.3875,27.64,198,0.518647524,0.925149687,0.448424859,1336.09
11/29/2000,11.525,27.49,198,0.568536116,0.907916274,0.448424859,1341.91
11/30/2000,11.325,29.65,199,0.495970891,1.156077414,0.460057902,1314.95
12/1/2000,11.875,27.48,194,0.695525259,0.90676738,0.401892687,1315.23
12/4/2000,12.025,27.78,195,0.749949178,0.941234205,0.41352573,1324.97
12/5/2000,11.55,24.99,194,0.577606769,0.620692733,0.401892687,1376.54
12/6/2000,11.3,25.07,194,0.486900238,0.629883887,0.401892687,1351.46
12/7/2000,11.35,25.34,192,0.505041545,0.660904029,0.378626601,1343.55
12/8/2000,11.25,22.41,191,0.468758932,0.324278039,0.366993558,1369.89
12/11/2000,11.725,23.51,191,0.641101341,0.450656397,0.366993558,1380.2
12/12/2000,11.7125,24.88,190,0.636566014,0.608054898,0.355360515,1371.18
12/13/2000,12.1,23.63,189,0.777161137,0.464443127,0.343727472,1359.99
12/14/2000,11.95,24.86,192,0.722737218,0.605757109,0.378626601,1340.93
12/15/2000,11.775,26.55,193,0.659242647,0.799920223,0.390259644,1312.15
12/18/2000,11.75,27.7,193,0.650171994,0.932043052,0.390259644,1322.74
12/19/2000,11.275,27.17,192,0.477829585,0.871151661,0.378626601,1305.6
12/20/2000,11.6,31.74,197,0.595748075,1.396196294,0.436791816,1264.74
12/21/2000,11.975,29.66,198,0.731807871,1.157226308,0.448424859,1274.86
12/22/2000,12,27.55,198,0.740878524,0.914809639,0.448424859,1305.97
12/26/2000,12.3,28.73,198,0.849726361,1.050379151,0.448424859,1315.19
12/27/2000,12.3,28.14,199,0.849726361,0.982594395,0.460057902,1328.92
12/28/2000,12.2,26.57,199,0.813443749,0.802218011,0.460057902,1334.22
12/29/2000,12.05,26.85,199,0.759019831,0.834387048,0.460057902,1320.28
