Date,max_drawdown_percent,label
2000-08-14,0.007850840730510364,0
2000-08-15,0.003085359363526845,0
2000-08-16,0.007595321282090233,0
2000-08-17,0.007595321282090233,0
2000-08-18,0.007595321282090233,0
2000-08-21,0.009002018714204025,0
2000-08-22,0.018753657686566658,0
2000-08-23,0.018753657686566658,0
2000-08-24,0.018753657686566658,0
2000-08-25,0.020719766960158332,0
2000-08-28,0.02550024000999492,0
2000-08-29,0.02550024000999492,0
2000-08-30,0.026236709035554414,0
2000-08-31,0.036139587182808734,0
2000-09-01,0.05014564990103697,1
2000-09-05,0.04151737134060563,0
2000-09-06,0.03860207253196318,0
2000-09-07,0.03860207253196318,0
2000-09-08,0.03344931415189027,0
2000-09-11,0.0337281602943744,0
2000-09-12,0.03885757385969523,0
2000-09-13,0.03928857641203853,0
2000-09-14,0.03666763456616716,0
2000-09-15,0.02677018167429613,0
2000-09-18,0.0228303308445785,0
2000-09-19,0.022905678471128198,0
2000-09-20,0.02182693428604731,0
2000-09-21,0.02182693428604731,0
2000-09-22,0.03380671882821658,0
2000-09-25,0.03857943207455307,0
2000-09-26,0.048872309348620635,0
2000-09-27,0.0642533378134665,1
2000-09-28,0.08812376139176707,1
2000-09-29,0.07429812531761006,1
2000-10-02,0.07414988720862227,1
2000-10-03,0.07414988720862227,1
2000-10-04,0.07414988720862227,1
2000-10-05,0.07414988720862227,1
2000-10-06,0.05621757429080408,1
2000-10-09,0.05153242084691483,1
2000-10-10,0.04126833066574384,0
2000-10-11,0.025509493694076568,0
2000-10-12,0.024096471715791844,0
2000-10-13,0.024096471715791844,0
2000-10-16,0.024096471715791844,0
2000-10-17,0.024096471715791844,0
2000-10-18,0.024096471715791844,0
2000-10-19,0.024096471715791844,0
2000-10-20,0.024096471715791844,0
2000-10-23,0.024096471715791844,0
2000-10-24,0.024096471715791844,0
2000-10-25,0.015996480913845288,0
2000-10-26,0.022378315726265342,0
2000-10-27,0.04622989966415073,0
2000-10-30,0.05650786557649477,1
2000-10-31,0.05650786557649477,1
2000-11-01,0.05650786557649477,1
2000-11-02,0.05650786557649477,1
2000-11-03,0.05650786557649477,1
2000-11-06,0.06254058469895765,1
2000-11-07,0.062331077541955625,1
2000-11-08,0.06167688465031795,1
2000-11-09,0.055551587698373164,1
2000-11-10,0.048531813701153434,0
2000-11-13,0.048531813701153434,0
2000-11-14,0.048531813701153434,0
2000-11-15,0.05386347774156173,1
2000-11-16,0.04180511833974576,0
2000-11-17,0.038582458397917685,0
2000-11-20,0.02521924134710185,0
2000-11-21,0.02521924134710185,0
2000-11-22,0.02521924134710185,0
2000-11-24,0.02521924134710185,0
2000-11-27,0.02521924134710185,0
2000-11-28,0.023965885480988568,0
2000-11-29,0.023965885480988568,0
2000-11-30,0.02845239820315895,0
2000-12-01,0.049304448630633206,0
2000-12-04,0.049304448630633206,0
2000-12-05,0.05405013766120862,1
2000-12-06,0.0836545428198812,1
2000-12-07,0.0836545428198812,1
2000-12-08,0.0836545428198812,1
2000-12-11,0.0836545428198812,1
2000-12-12,0.07762656981577915,1
2000-12-13,0.07003727968588004,1
2000-12-14,0.056818775029270775,1
2000-12-15,0.043848375342092925,0
2000-12-18,0.043848375342092925,0
2000-12-19,0.0381871055747928,0
2000-12-20,0.0381871055747928,0
2000-12-21,0.03836563863575651,0
2000-12-22,0.03836563863575651,0
2000-12-26,0.03836563863575651,0
2000-12-27,0.03836563863575651,0
2000-12-28,0.03836563863575651,0
2000-12-29,0.03836563863575651,0
2001-01-02,0.03836563863575651,0
2001-01-03,0.03836563863575651,0
2001-01-04,0.02810985945070276,0
2001-01-05,0.006406294749853032,0
2001-01-08,0.006406294749853032,0
2001-01-09,0.006406294749853032,0
2001-01-10,0.006406294749853032,0
2001-01-11,0.0068533313787289525,0
2001-01-12,0.0068533313787289525,0
2001-01-16,0.0068533313787289525,0
2001-01-17,0.0068533313787289525,0
2001-01-18,0.0068533313787289525,0
2001-01-19,0.017659947733542975,0
2001-01-22,0.017659947733542975,0
2001-01-23,0.017659947733542975,0
2001-01-24,0.0239057165527432,0
2001-01-25,0.029991337453502537,0
2001-01-26,0.04292692159303504,0
2001-01-29,0.04292692159303504,0
2001-01-30,0.04292692159303504,0
2001-01-31,0.04274574617574467,0
2001-02-01,0.04274574617574467,0
2001-02-02,0.0389718749769255,0
2001-02-05,0.05565195560839091,1
2001-02-06,0.07172437253190955,1
2001-02-07,0.06568025714264418,1
2001-02-08,0.06504168761678918,1
2001-02-09,0.06348144417466609,1
2001-02-12,0.06348144417466609,1
2001-02-13,0.06533193628873582,1
2001-02-14,0.06533193628873582,1
2001-02-15,0.06967383028923334,1
2001-02-16,0.051746790316012634,1
2001-02-20,0.034997732497224265,0
2001-02-21,0.026403186999566147,0
2001-02-22,0.026403186999566147,0
2001-02-23,0.027002721571411682,0
2001-02-26,0.06901747327732419,1
2001-02-27,0.06687540522162652,1
2001-02-28,0.07751000205575848,1
2001-03-01,0.07751000205575848,1
2001-03-02,0.09030314531049864,1
2001-03-05,0.09030314531049864,1
2001-03-06,0.09655739519585063,1
2001-03-07,0.1127504467321346,2
2001-03-08,0.1163559308632605,2
2001-03-09,0.09391772470042656,1
2001-03-12,0.06686371758261958,1
2001-03-13,0.06686371758261958,1
2001-03-14,0.0477010123044412,0
2001-03-15,0.0477010123044412,0
2001-03-16,0.04546425124486468,0
2001-03-19,0.04546425124486468,0
2001-03-20,0.06404324251165233,1
2001-03-21,0.06675858802033555,1
2001-03-22,0.06675858802033555,1
2001-03-23,0.06675858802033555,1
