Date,open,high,low,close,signal,price_change,max_drawdown,max_return,risk_reward,max_drawdown_percent,
08/14/2000,1491.56,1491.56,1491.56,1491.56,0.0,22.529999999999973,11.710000000000036,22.529999999999973,1.9239965841161317,0.007850840730510364,
08/15/2000,1484.43,1484.43,1484.43,1484.43,0.0,25.409999999999854,4.580000000000155,29.659999999999854,5.548034934497598,0.003085359363526845,
08/16/2000,1479.85,1479.85,1479.85,1479.85,0.0,22.74000000000001,11.5,34.24000000000001,1.9773913043478268,0.007595321282090233,
08/17/2000,1496.07,1496.07,1496.07,1496.07,0.0,21.610000000000127,11.5,21.610000000000127,1.8791304347826199,0.007595321282090233,
08/18/2000,1491.72,1491.72,1491.72,1491.72,0.0,29.049999999999955,11.5,29.049999999999955,2.526086956521735,0.007595321282090233,
08/21/2000,1499.48,1499.48,1499.48,1499.48,0.0,7.599999999999909,13.690000000000055,21.289999999999964,0.5551497443389247,0.009002018714204025,
08/22/2000,1498.13,1498.13,1498.13,1498.13,0.0,-5.880000000000109,28.519999999999982,22.639999999999873,-0.20617110799439387,0.01875365768656666,
08/23/2000,1505.97,1505.97,1505.97,1505.97,0.0,-3.4600000000000364,28.519999999999982,14.799999999999955,-0.12131837307153011,0.01875365768656666,
08/24/2000,1508.31,1508.31,1508.31,1508.31,0.0,-13.809999999999945,28.519999999999982,12.460000000000036,-0.4842215988779788,0.01875365768656666,
08/25/2000,1506.45,1506.45,1506.45,1506.45,0.0,-17.190000000000055,31.50999999999999,14.319999999999936,-0.5455410980641086,0.020719766960158335,
08/28/2000,1514.09,1514.09,1514.09,1514.09,0.0,-32.09999999999991,38.77999999999997,6.680000000000064,-0.8277462609592556,0.02550024000999492,
08/29/2000,1509.84,1509.84,1509.84,1509.84,0.0,-24.929999999999836,38.77999999999997,10.930000000000064,-0.6428571428571391,0.02550024000999492,
08/30/2000,1502.59,1502.59,1502.59,1502.59,0.0,-21.720000000000027,39.90000000000009,18.180000000000064,-0.5443609022556385,0.026236709035554417,
08/31/2000,1517.68,1517.68,1517.68,1517.68,0.0,-51.87000000000012,54.960000000000036,3.089999999999918,-0.9437772925764207,0.036139587182808734,
09/01/2000,1520.77,1520.77,1520.77,1520.77,0.0,-76.25999999999999,76.25999999999999,-13.690000000000055,-1.0,0.05014564990103697,
09/05/2000,1507.08,1507.08,1507.08,1507.08,0.0,-47.179999999999836,62.569999999999936,-4.569999999999936,-0.7540354802621045,0.04151737134060563,
09/06/2000,1492.25,1492.25,1492.25,1492.25,0.0,-40.91000000000008,58.0,10.259999999999991,-0.7053448275862083,0.03860207253196318,
09/07/2000,1502.51,1502.51,1502.51,1502.51,0.0,-53.460000000000036,58.0,-8.009999999999991,-0.9217241379310351,0.03860207253196318,
09/08/2000,1494.5,1494.5,1494.5,1494.5,0.0,-45.77999999999997,49.99000000000001,-5.240000000000009,-0.9157831566313256,0.03344931415189027,
09/11/2000,1489.26,1489.26,1489.26,1489.26,0.0,-50.23000000000002,50.23000000000002,-4.349999999999909,-1.0,0.0337281602943744,
09/12/2000,1481.99,1481.99,1481.99,1481.99,0.0,-54.77999999999997,57.700000000000045,2.9200000000000728,-0.9493934142114373,0.03885757385969523,
09/13/2000,1484.91,1484.91,1484.91,1484.91,0.0,-58.340000000000146,58.340000000000146,-4.040000000000191,-1.0,0.039288576412038534,
09/14/2000,1480.87,1480.87,1480.87,1480.87,0.0,-22.579999999999927,54.299999999999955,-15.059999999999945,-0.4158379373848977,0.03666763456616716,
09/15/2000,1465.81,1465.81,1465.81,1465.81,0.0,-29.299999999999955,39.24000000000001,-5.9099999999998545,-0.7466870540265023,0.02677018167429613,
09/18/2000,1444.51,1444.51,1444.51,1444.51,0.0,-8.279999999999973,33.330000000000155,15.3900000000001,-0.24842484248424646,0.0228303308445785,
09/19/2000,1459.9,1459.9,1459.9,1459.9,0.0,-33.440000000000055,33.440000000000055,-1.6100000000001273,-1.0,0.022905678471128194,
09/20/2000,1451.34,1451.34,1451.34,1451.34,0.0,-17.019999999999982,31.829999999999927,6.9500000000000455,-0.534715677034245,0.021826934286047307,
09/21/2000,1449.05,1449.05,1449.05,1449.05,0.0,-12.769999999999982,31.829999999999927,9.240000000000009,-0.4011938422871508,0.021826934286047307,
09/22/2000,1448.72,1448.72,1448.72,1448.72,0.0,-39.73000000000002,49.299999999999955,9.569999999999936,-0.8058823529411776,0.03380671882821658,
09/25/2000,1439.03,1439.03,1439.03,1439.03,0.0,-37.0,56.25999999999999,19.25999999999999,-0.6576608602915038,0.03857943207455307,
09/26/2000,1427.21,1427.21,1427.21,1427.21,0.0,-40.190000000000055,71.26999999999998,31.079999999999927,-0.563911884383332,0.048872309348620635,
09/27/2000,1426.57,1426.57,1426.57,1426.57,0.0,-61.98000000000002,93.70000000000005,31.720000000000027,-0.6614727854855922,0.0642533378134665,
09/28/2000,1458.29,1458.29,1458.29,1458.29,0.0,-128.51,128.51,-21.779999999999973,-1.0,0.08812376139176707,
09/29/2000,1436.51,1436.51,1436.51,1436.51,0.0,-62.33999999999992,106.73000000000002,-0.2300000000000182,-0.5840906961491605,0.07429812531761006,
10/02/2000,1436.23,1436.23,1436.23,1436.23,0.0,-61.61000000000013,106.5,0.049999999999954525,-0.5784976525821608,0.07414988720862227,
10/03/2000,1426.46,1426.46,1426.46,1426.46,0.0,-76.49000000000001,106.5,9.819999999999936,-0.7182159624413147,0.07414988720862227,
10/04/2000,1434.32,1434.32,1434.32,1434.32,0.0,-92.18999999999983,106.5,1.9600000000000364,-0.8656338028168998,0.07414988720862227,
10/05/2000,1436.28,1436.28,1436.28,1436.28,0.0,-47.51999999999998,106.5,-27.289999999999964,-0.44619718309859135,0.07414988720862227,
10/06/2000,1408.99,1408.99,1408.99,1408.99,0.0,-12.059999999999945,79.21000000000004,-6.960000000000036,-0.15225350334553642,0.056217574290804075,
10/09/2000,1402.03,1402.03,1402.03,1402.03,0.0,-6.25,72.25,-5.099999999999909,-0.08650519031141868,0.05153242084691483,
10/10/2000,1387.02,1387.02,1387.02,1387.02,0.0,11.110000000000127,57.24000000000001,11.110000000000127,0.19409503843466328,0.041268330665743834,
10/11/2000,1364.59,1364.59,1364.59,1364.59,0.0,0.3100000000001728,34.809999999999945,33.54000000000019,0.008905486929048356,0.02550949369407657,
10/12/2000,1329.78,1329.78,1329.78,1329.78,0.0,34.66000000000008,33.690000000000055,68.35000000000014,1.0287919263876528,0.024096471715791844,
10/13/2000,1374.17,1374.17,1374.17,1374.17,0.0,5.4099999999998545,33.690000000000055,23.960000000000036,0.16058177500741602,0.024096471715791844,
